,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01
Los Angeles Lakers,5,5,6,8,13,11,6,4,3,4,5,5,4,4,3,3,3,3,4,3,3,3,4,4,4,3,3,4,4,2,3,2,2,3,4,4,4,3,3,3,3,3,3,2,2,2,3,3,3,8,5,5,7,7,2,2,2,3,4,4,4,5,4,4,7,10,3,2,2,4,4,5,4,5,4,5,8,13,6,3,3,5,6,6,5,6,6,8,7,4,2,2,2,1,2,9,6,6,7,5,8,4,6,6,4,6,8,7,7,6,7,9,3,3,5,3,2,4,7,7,6,6,6,5,3,4,6,3,2,5,12,12,9,6,6,4,3,5,6,3,2,5,8,9,7,5,6,7,3,5,6,3,2,5,10,7,5,6,5,4,3,6,6,3,3,10,11,10,10,11,10,4,3,6,19,6,6,16,17,18,14,17,12,7,7,14,19,7,5,12,18
Memphis Grizzlies,3,3,4,4,2,3,1,2,1,2,4,3,3,3,2,3,1,1,2,2,1,2,3,3,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,3,3,3,3,3,2,1,1,1,1,1,1,2,3,2,3,3,3,8,12,1,1,1,1,1,1,4,5,4,4,5,5,2,2,1,1,3,6,4,5,4,4,5,17,3,2,1,1,3,4,4,3,4,4,9,4,1,2,1,1,3,7,8,6,5,5,10,11,2,2,1,1,3,6,5,5,5,5,7,2,2,3,1,1,3,5,6,5,4,4,9,1,2,3,2,2,6,5,5,4,3,4,2,1,2,3,2,1,3,5,5,5,5,4,2,2,4,5,2,2,5,6
Miami Heat,2,1,1,2,3,1,5,2,2,3,5,6,4,4,5,5,8,6,2,3,3,4,5,6,4,4,4,5,9,25,4,3,3,4,5,5,4,5,5,6,2,2,2,2,2,3,4,4,3,4,3,2,2,2,2,2,2,3,4,4,3,3,4,4,2,2,3,2,1,3,4,3,3,3,3,4,2,3,35,10,9,20,19,21,15,14,18,17,41,38,6,5,4,3,3,18,21,17,19,18,31,71,18,11,10,15,19,18,17,20,46,26,49,100,15,11,9,17,21,23,22,21,24,28,51,53,21,9,7,12,15,15,13,13,13,10,6,8,11,8,6,9,13,14,12,14,15,19,26,9,15,5,5,8,8,8,8,12,12,10,5,8,11,6,5,7,8,7,11,13,11,15,4,6,7,5,5,9,9,10,9,9,10,9,4,6,16,5,4,9,14
Milwaukee Bucks,2,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,2,2,1,0,1,1,1,0,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,2,3,2,5,2,2,2,1,1,2,3,4,2,2,2,1,1,1,2,1,1,2,3,3,4,3,3,7,1,2,2,1,1,4,4,4,4,4,4,7,2,2,2,1,1,4,6,6,6,7,7,11,26,3,3,1,1,4,6
Minnesota Timberwolves,2,2,2,2,5,1,1,1,1,1,2,2,1,2,1,1,0,1,1,1,0,1,2,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,3,2,2,1,0,1,2,1,1,1,2,2,1,1,1,1,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,4,1,1,3,3,2,3,2,2,4,1,1,1,1,1,2,3,2,2,2,2,1,1,1,2,1,1,1,2
New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,1,2,2,3,2,1,2,3,2,2,2,1,1,0,1,1,1,0,1,2,2,2,2,2,3,1,1,1,0,0,1,2,2,1,1,1,1,1,1,1,0,0,1,2,1,1,4,2,1,0,1,1,1,1,2,2,2,2,2,2,4,2,1,1,1,1,2,1,1,2,2,1,1,2,3,2,1,1,3,2
New York Knicks,4,3,2,2,1,1,1,1,1,2,2,3,2,3,2,2,1,1,2,1,1,2,3,2,3,2,2,1,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,2,1,2,1,4,2,2,2,3,4,3,6,4,4,1,2,1,1,1,1,1,6,4,15,8,5,3,2,3,2,2,3,6,6,4,3,4,6,6,2,3,2,2,3,4,4,4,4,4,3,2,2,3,2,2,3,4,4,4,3,2,2,2,3,3,2,2,3,5,4,4,4,3,2,2,4,6,2,2,4,5,5,5,5,3,2,1,3,3,2,2,4,5,4,4,3,2,2,2,2,2,1,1,3,3,3,3,4,2,2,2,3,3,1,1,3,3
Oklahoma City Thunder,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,17,15,9,8,7,5,4,2,3,3,2,2,4,7,7,7,7,7,18,5,4,4,3,3,7,9,9,9,11,9,16,35,5,3,3,2,2,2,11,12,14,16,18,42,85,11,10,7,10,14,15,13,13,14,19,22,6,6,4,4,8,12,14,15,16,16,25,53,10,6,4,4,8,15,19,17,18,18,15,4,5,5,4,3,9,16,16,14,18,17,19,89,9,10,5,4,12,25,19,18,19,19,31,4,7,10,4,11,26,24,26,23,23,20,27,5,4,7,4,4,9,11,13,13,13,13,17,3,5,9,3,3,6,7
Orlando Magic,19,25,19,15,16,22,24,15,11,20,29,23,26,23,24,16,13,15,15,10,9,15,19,20,21,22,18,16,11,13,17,11,11,19,29,29,23,22,21,21,13,19,19,14,12,17,28,26,25,24,24,27,24,13,16,12,13,16,19,24,27,26,25,32,100,95,28,18,15,30,37,35,31,33,32,39,79,23,35,23,19,39,42,69,48,46,43,51,21,24,16,13,12,11,12,46,44,39,44,35,26,26,33,24,15,22,30,31,30,29,28,18,15,20,20,15,12,21,26,24,24,23,22,19,16,21,22,15,13,22,27,27,26,26,23,19,16,20,22,14,13,24,30,32,27,35,26,24,22,27,30,15,14,24,26,31,31,31,26,21,16,21,22,16,13,33,34,29,29,28,24,18,17,22,26,15,14,28,32,31,29,33,33,53,13,20,21,15,16,29,30
Philadelphia 76ers,8,7,7,4,3,4,2,3,3,4,8,6,6,11,10,8,4,3,3,3,2,5,10,6,8,7,5,4,3,3,3,2,2,3,6,7,4,3,3,3,2,3,3,1,2,3,4,4,3,3,4,5,2,2,3,2,2,3,3,3,3,3,3,4,2,3,1,2,1,3,4,6,4,3,3,2,2,2,2,2,1,4,3,4,4,3,4,6,1,2,1,1,1,1,1,4,7,6,5,5,11,2,3,4,2,4,6,4,4,4,4,2,2,4,4,3,2,5,8,5,5,6,9,4,3,5,4,3,2,4,10,9,6,7,6,4,3,6,4,3,2,4,11,12,9,7,6,5,5,8,8,4,4,7,11,10,15,13,9,5,4,11,9,4,4,15,20,19,14,16,18,40,23,10,11,5,5,11,21,15,14,20,16,25,23,8,11,5,4,11,15
Phoenix Suns,13,14,9,7,5,6,12,6,7,8,21,32,29,26,21,31,57,19,9,12,9,16,24,23,23,22,27,26,93,28,14,9,11,19,31,40,42,31,30,41,65,15,16,13,12,23,34,27,26,50,35,43,15,11,10,10,9,18,26,23,20,25,21,13,7,11,10,8,8,15,26,21,19,17,18,30,73,10,18,10,10,20,21,27,25,22,23,12,10,10,6,4,4,4,5,20,21,18,19,19,7,8,19,9,7,13,19,17,19,21,16,11,11,13,13,11,8,13,20,20,22,25,22,19,8,12,21,11,10,16,21,19,23,24,18,10,6,11,15,8,8,13,20,19,17,20,16,10,8,15,15,7,8,16,18,17,18,19,22,13,8,16,17,12,8,25,24,20,19,22,18,13,15,21,20,10,13,27,25,31,23,22,25,14,14,24,22,9,9,28,39
Portland Trail Blazers,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2,3,2,2,1,1,2,1,2,2,3,3,2,2,1,1,2,3,2,1,1,2,2,4,4,3,2,2,1,2,2,2,2,3,4,4,3,3,3,5,2,1,2,1,1,4,8,9,9,8,7,11,2,3,5,3,3,8,9,8,8,11,9,10,3,3,2,1,1,1,1,7,9,10,11,6,3,5,7,4,3,7,10,9,10,9,8,6,4,5,6,4,3,6,15,25,17,14,14,27,32,4,5,4,3,8,18,19,18,15,15,22,4,6,9,4,4,9,14,13,12,17,15,26,26,6,12,4,4,12,16,14,16,13,18,25,5,9,11,6,6,15,15,14,15,16,28,27,4,7,11,5,5,16,19,17,17,19,23,48,58,9,13,6,5,14,34
Sacramento Kings,7,7,7,10,12,3,3,3,2,4,5,4,4,5,4,4,2,2,2,2,2,3,4,3,3,3,3,4,4,1,2,1,1,2,3,3,2,2,2,2,1,1,1,1,1,2,2,2,2,10,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,3,4,3,3,2,2,1,2,2,1,1,3,3,3,3,3,5,6,2,3,1,1,3,2,1,7,5,5,4,4,2,2,2,2,1,2,4,3,9,4,4,5,5,3,4,2,2,3,5,6,5,4,3,3,2,2,3,2,2,3,6,6,4,4,3,3,2,3,5,2,2,4,7,6,7,5,4,5,3,4,5,2,2,5,5,5,5,8,4,3,2,4,5,2,2,5,5,5,4,4,4,2,2,4,5,2,2,5,7,8,7,8,6,4,2,3,4,2,2,5,6
San Antonio Spurs,4,3,4,4,8,2,2,2,2,2,3,4,4,4,4,5,10,20,5,3,3,3,5,5,4,4,4,5,9,2,2,1,1,3,4,3,3,3,3,4,10,10,2,2,1,3,4,4,3,3,3,5,10,2,2,1,1,2,2,3,3,3,3,3,1,2,2,1,1,3,3,2,3,2,2,5,3,1,3,1,1,2,4,6,5,5,5,8,2,2,1,1,1,1,1,4,4,4,4,5,13,7,2,1,1,2,5,4,3,4,4,6,15,32,3,2,2,3,5,5,5,4,7,10,25,36,5,3,2,6,9,9,7,6,8,17,7,3,7,3,2,5,8,10,13,8,14,16,16,4,7,3,3,8,9,9,8,7,11,15,26,6,8,4,4,9,9,11,9,8,11,14,4,7,9,4,3,7,7,7,8,6,8,12,3,5,6,3,2,5,7
Toronto Raptors,5,4,7,2,2,3,3,2,2,3,7,5,6,5,4,3,2,2,3,3,2,5,6,4,5,4,4,3,2,5,6,3,4,6,7,7,7,8,7,10,4,2,3,2,2,5,7,5,5,5,4,4,2,3,3,2,2,4,6,5,5,4,3,2,1,2,5,3,2,4,5,5,5,5,4,3,2,2,6,3,2,4,5,4,3,3,3,2,2,3,1,1,1,1,1,4,4,4,3,2,1,2,4,2,2,4,4,4,5,7,3,2,2,2,3,2,2,4,4,5,7,5,6,11,8,2,3,2,2,4,11,11,7,7,5,9,2,3,4,3,2,4,8,7,7,7,7,13,47,4,4,3,3,6,9,9,8,9,8,14,7,3,4,2,2,6,7,8,10,9,13,19,14,4,7,4,4,11,14,13,12,14,11,19,72,100,12,4,4,10,13
