,$OSR^2$,Mean Absolute Error,Root Mean Square Error,Tuning Parameters
Dataset 2 Subset 2 Elastic Net,0.5644190021415665,976.6200038553848,1312.8149172281371,"{'Alpha': 20.69157002194364, 'L1 Ratio': 1.0}"
Dataset 2 Subset 2 Huber,0.5640613432428357,842.8485067225719,1313.3537878327777,"{'alpha': 0.2222222311111111, 'epsilon': 1.000000000000001}"
Dataset 2 Subset 2 Linear Support Vector Machine,0.5566055860693748,994.4176142791692,1324.5371656379823,"{'C': 8163448979.591837, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 3 OLS,0.5478645977195722,1012.0256371049506,1335.595060402139,
Dataset 3 Ridge,0.5728908693060177,969.0709244947973,1298.1054558843082,{'Alpha': 688.7755102040817}
Dataset 3 Lasso,0.5676134833689848,970.3223997812748,1306.1005689672754,{'Alpha': 11.402937979448758}
Dataset 3 Elastic Net,0.5684714400253581,968.2218426415313,1304.804120004852,"{'Alpha': 13.129290328342117, 'L1 Ratio': 1.0}"
Dataset 3 Huber,0.5702932542397289,872.6810894861893,1302.0469155843027,"{'alpha': 0.2222222311111111, 'epsilon': 1.1111111111111116}"
Dataset 3 Linear Support Vector Machine,0.5598427659586369,989.2236020863376,1317.7847254529252,"{'C': 8367510204.081633, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 3 Subset 1 OLS,0.35769408069130104,1197.8756934807968,1591.8843366272718,
Dataset 3 Subset 1 Ridge,0.3892329733903427,1156.1357829154194,1552.309583655277,{'Alpha': 750.0}
Dataset 3 Subset 1 Lasso,0.37430022350864867,1176.745413215706,1571.171335566445,{'Alpha': 1.047857450218358}
Dataset 3 Subset 1 Elastic Net,0.37437948673411503,1176.6746903724788,1571.0718149522595,"{'Alpha': 1.047857450218358, 'L1 Ratio': 1.0}"
Dataset 3 Subset 1 Huber,0.3515658932504583,1121.058541148991,1599.460327185963,"{'alpha': 0.6666666733333334, 'epsilon': 1.0222222222222233}"
Dataset 3 Subset 1 Linear Support Vector Machine,0.3690049182260742,1182.3804685967602,1577.8057499998376,"{'C': 9183755102.040817, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 3 Subset 2 OLS,0.540154737723181,1019.061566054653,1346.934278429532,
Dataset 3 Subset 2 Ridge,0.567854546168503,973.3166166979117,1305.7364316230255,{'Alpha': 750.0}
Dataset 3 Subset 2 Lasso,0.5626634317074486,973.5219911041914,1313.5555499639256,{'Alpha': 15.11700448047433}
Dataset 3 Subset 2 Elastic Net,0.5628011088608875,973.1755521349412,1313.34877463646,"{'Alpha': 15.11700448047433, 'L1 Ratio': 1.0}"
Dataset 3 Subset 2 Huber,0.5649637332673363,871.752083873127,1310.0964777071551,"{'alpha': 0.2222222311111111, 'epsilon': 1.0666666666666673}"
Dataset 3 Subset 2 Linear Support Vector Machine,0.5541770988224661,993.5304973002253,1326.238814791154,"{'C': 9183755102.040817, 'dual': False, 'epsilon': 2.0, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 3 Subset 3 OLS,0.5175190030436545,1040.3042509588283,1379.6872590760527,
Dataset 3 Subset 3 Ridge,0.5497421643534546,991.1116011005579,1332.8190363334722,{'Alpha': 750.0}
Dataset 3 Subset 3 Lasso,0.5409847187709813,994.8804056413248,1345.7181793272794,{'Alpha': 15.11700448047433}
Dataset 3 Subset 3 Elastic Net,0.5409187732999584,994.9568460439631,1345.8148436821007,"{'Alpha': 15.11700448047433, 'L1 Ratio': 1.0}"
Dataset 3 Subset 3 Huber,0.557813267119257,876.400154272913,1320.8192851374959,"{'alpha': 0.2222222311111111, 'epsilon': 1.0888888888888895}"
Dataset 3 Subset 3 Linear Support Vector Machine,0.5332152572074647,1012.8418825264506,1357.0594496364954,"{'C': 9183755102.040817, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
